,Accuracy,Precision,Recall,F1,rouge1,rouge2,rougeL,rougeLsum,bleu,bertscore
1717,0.7915057915057915,0.798316038731395,0.7915057915057915,0.7922157220892029,0.3153463231992033,0.17285630302141614,0.2822490590816794,0.2822178061151279,0.025040013322040106,0.8887094912841974
3434,0.823816297500508,0.8247663166701446,0.823816297500508,0.8240895928513905,0.3193755567525812,0.1772166435919031,0.2866020375325863,0.28658388778663896,0.02474400782139236,0.8908225257896694
5151,0.837126600284495,0.8371267198955332,0.837126600284495,0.837036641379486,0.32802537916802144,0.18360820816698298,0.29408847103040575,0.29411158751474237,0.027380752069343196,0.8918639814022764
6868,0.8455598455598455,0.8459903744240512,0.8455598455598455,0.8456731994628033,0.34073027754370755,0.19453015268326063,0.30329547713532357,0.30338112311445986,0.032374958244505585,0.8912089006781118
8585,0.847287136760821,0.8470255138424443,0.847287136760821,0.8470993901210901,0.3290605076773333,0.18411384243270204,0.2940501936140042,0.29405648554165753,0.028092952248572632,0.8916748996867176
10302,0.8482015850436903,0.8525124834611666,0.8482015850436903,0.8492563847719841,0.32648365792742173,0.18079894147214787,0.29204053915360084,0.2921441927783434,0.025782387435481138,0.8928464915519371
12019,0.8560251981304613,0.8582946028803246,0.8560251981304613,0.8564069063952188,0.328617300747558,0.1835289721360015,0.29433669424445413,0.2944055289321633,0.027894973784178396,0.8920005236401642
13736,0.8515545620808779,0.8528614521041004,0.8515545620808779,0.8519768633013997,0.32856158991057816,0.18173851624598295,0.2935095507060812,0.29356938552230427,0.0265764089199207,0.8923676491595216
15453,0.8570412517780939,0.8568266005918252,0.8570412517780939,0.8568826529175096,0.32878049355483346,0.18276352046500485,0.2942892724813931,0.29432260992562187,0.026860133040418534,0.8927173505915154
17170,0.858666937614306,0.8593859664733112,0.858666937614306,0.8589369840132147,0.3335158569400558,0.1855813415100723,0.2975725090042551,0.29762660721233053,0.028457802534033096,0.892863110013668
18887,0.8601910180857549,0.8608243805273135,0.8601910180857549,0.8604155896826072,0.33104245268849736,0.183444706125722,0.29548701314084036,0.2954929582333895,0.02814899887971945,0.8923303448216408
20604,0.858666937614306,0.8588325146802778,0.858666937614306,0.8587404232240777,0.3311620355358232,0.18347584360977665,0.2955672579438646,0.29559840740115706,0.028154496921894735,0.8924072075486063
