,Accuracy,Precision,Recall,F1,rouge1,rouge2,rougeL,rougeLsum,bleu,bertscore
1717,0.767018898597846,0.7809158247323749,0.767018898597846,0.7671349204604485,0.31355021405897454,0.17033344816239282,0.27988956533587034,0.2798071846272342,0.024490578873153576,0.887952568599592
3434,0.8213777687461898,0.8225942659525234,0.8213777687461898,0.8218185632408266,0.31951393705157627,0.17773374246279716,0.2869041643904199,0.28675697711783155,0.025207996893321243,0.8906197146086934
5151,0.8277789067262752,0.8282262244257858,0.8277789067262752,0.8267488096488524,0.3269233278480582,0.18226488937710167,0.29294163078845925,0.29287154897959244,0.027338498707004947,0.8911936404476852
6868,0.8402763665921561,0.8397439946032189,0.8402763665921561,0.8397978962118592,0.3393540527463045,0.19299107824145179,0.30162204098979806,0.30153995368796327,0.03154332447605412,0.8911025137635804
8585,0.8433245275350538,0.8428240600522718,0.8433245275350538,0.8427006374051307,0.3342025230410723,0.18865174215179412,0.2976869601682516,0.2976043646017851,0.030350457335329994,0.8915156469708946
10302,0.8506401137980085,0.8528859281653722,0.8506401137980085,0.8511946218030173,0.33129689309665644,0.18562171649109005,0.296070562553203,0.29597608642022966,0.027744582897949097,0.8925158673126362
12019,0.8492176386913229,0.8489589653218149,0.8492176386913229,0.8486447745549008,0.329391506638573,0.18393472612516015,0.2946922528704162,0.2945466438202055,0.02841038918658763,0.8917661335404824
13736,0.850030481609429,0.8504123626196165,0.850030481609429,0.8500415805265154,0.32877898087272095,0.18299776874439297,0.2938586426970411,0.2937514629510134,0.02711075346775037,0.8922599010825084
15453,0.8528754318228002,0.8524873761372895,0.8528754318228002,0.8525579265994102,0.33069398242634385,0.18461035252789093,0.29556919935695347,0.2954268210261022,0.028041598647860367,0.8922443680103367
17170,0.8528754318228002,0.8535426157896707,0.8528754318228002,0.8531090658382767,0.3336640712362076,0.18577949780203867,0.2977868580566143,0.297660335424504,0.02888553358005469,0.8924541158468785
18887,0.8554155659418817,0.8558713752064797,0.8554155659418817,0.8555983040814779,0.33126754935233027,0.18400496966487023,0.2956380728123957,0.29552052575504373,0.028332763201615464,0.8920452633334767
20604,0.8556187766714083,0.8555987831420164,0.8556187766714083,0.8556085704691259,0.3309031069513931,0.18343174153965475,0.29510945817739664,0.2950233299861298,0.028164250387133563,0.8920411186062255
