,Accuracy,Precision,Recall,F1,rouge1,rouge2,rougeL,rougeLsum,bleu,bertscore
1717,0.7850030481609429,0.7913567392750057,0.7850030481609429,0.7855048291914034,0.30597639293688816,0.16400278576576174,0.2741872140001529,0.2742758404695294,0.02232518666351749,0.8884837565032526
3434,0.8176183702499492,0.8248277182531539,0.8176183702499492,0.8191330476846813,0.31945362633356356,0.17742491080647993,0.28680550610926786,0.28685195527941115,0.02500027207044036,0.8902842896700729
5151,0.8325543588701484,0.833016316497467,0.8325543588701484,0.8322818026912513,0.33047483750299544,0.18578160871563876,0.295853189833604,0.29589150966530875,0.02801748300119258,0.891557533592985
6868,0.8442389758179232,0.8448499883464767,0.8442389758179232,0.844395005680872,0.34203032447720405,0.19633071163934834,0.30434501256406643,0.3044018596658331,0.0325445979750755,0.8915813231075762
8585,0.8435277382645804,0.8429008945453418,0.8435277382645804,0.8428866363391769,0.3308511338845215,0.185366365047285,0.2951233827953944,0.2952331142983362,0.028791462612064753,0.8917132405652382
10302,0.8457630562893721,0.8479898207143879,0.8457630562893721,0.8463610045462977,0.3324091550606211,0.18600048837076466,0.2963338422097265,0.2963011276235723,0.027982790209455977,0.8922457263022026
12019,0.8522657996342207,0.8541535177400043,0.8522657996342207,0.8527623251821537,0.33048256898617123,0.18476774453079509,0.2951007982721879,0.29512680940051345,0.02865113236008492,0.8914494372569698
13736,0.8513513513513513,0.8516417420996525,0.8513513513513513,0.851426992877188,0.33028715431305755,0.18469862053686648,0.2952364819196343,0.29524286503878305,0.028156516397918267,0.891786267713327
15453,0.8522657996342207,0.8519345444633056,0.8522657996342207,0.8519927510114751,0.33061081662150843,0.1851704908742323,0.295392316620642,0.29543936858101005,0.02781233249399639,0.8927092994344692
17170,0.8541963015647226,0.8553038417987957,0.8541963015647226,0.8545833860594145,0.3333170154891514,0.1856420909937552,0.29718719836183305,0.2972510613921574,0.0291212403322697,0.8923438887810761
18887,0.8542979069294859,0.8550285266085305,0.8542979069294859,0.8545849136649725,0.3301405339614787,0.18296046049190356,0.29432261231843004,0.29443097592666323,0.028334417127190308,0.8918778863204637
20604,0.8532818532818532,0.8534385202465752,0.8532818532818532,0.8533464327445289,0.32974108265196056,0.1822899609346403,0.2941986107632984,0.294282804252227,0.02802371584677415,0.8919955422918963
